start,end,location_id
17391936,17391951,30836
17391952,17391967,188273
17391968,17392127,30836
17392128,17392639,108292
17392640,17393151,108294
17393152,17393535,64567
17393536,17393663,64060
17393664,17394175,106432
17394176,17394377,20767
17394378,17394379,106265
17394380,17394687,20767
17394688,17395711,108287
17395712,17395967,452838
17395968,17396223,451648
17396224,17396479,341457
17396480,17399807,108287
17399808,17400063,460258
17400064,17401343,108287
17401344,17401599,341457
17401600,17402367,108287
17402368,17402623,341451
17402624,17405439,108287
17405440,17405695,23801
17405696,17406207,108287
17406208,17406463,337925
17406464,17406719,452324
17406720,17406975,46413
17406976,17407231,108287
17407232,17407487,476179
17407488,17407999,23797
17408000,17408255,108287
17408256,17408511,452506
17408512,17411583,108287
17411584,17412095,46413
17412096,17412223,451648
17412224,17412351,236853
17412352,17412863,108287
17412864,17413119,57782
17413120,17413375,46413
17413376,17413631,337927
17413632,17413887,108287
17413888,17414015,452491
17414016,17414143,336712
17414144,17414399,108287
17414400,17414655,460614
17414656,17414783,449983
17414784,17414911,338048
17414912,17415167,108287
17415168,17415679,23797
17415680,17416959,108287
17416960,17417215,20767
17417216,17419007,108287
17419008,17419263,108323
17419264,17419775,107369
17419776,17429503,108287
17429504,17429759,23797
17429760,17432575,108287
17432576,17435135,49
17435136,17435391,17
17435392,17435647,49
17435648,17436671,104084
17436672,17465343,47667
17465344,17481727,209
17481728,17482239,22537
17482240,17484543,209
17484544,17484799,22537
17484800,17487103,209
17487104,17487231,450530
17487232,17487871,209
17487872,17488127,460311
17488128,17488383,209
17488384,17488639,24914
17488640,17490687,209
17490688,17490943,22537
17490944,17491967,209
17491968,17492223,108362
17492224,17493759,209
17493760,17494015,449881
17494016,17494527,209
17494528,17494783,22537
17494784,17495551,209
17495552,17495807,449881
17495808,17498111,209
17498112,17563647,22883
17563648,17825791,24328
17825792,18087935,22883
18087936,18088447,22537
18088448,18120703,209
18120704,18120959,449906
18120960,18121471,209
18121472,18121727,22537
18121728,18122495,209
18122496,18122751,449906
18122752,18142463,209
18142464,18142719,22537
18142720,18153471,209
18153472,18158079,14614
18158080,18158335,336629
18158336,18159103,14614
18159104,18159359,106169
18159360,18168831,14614
18168832,18169087,113282
18169088,18179839,14614
18179840,18180095,104239
18180096,18181119,14614
18181120,18181375,341604
18181376,18219007,14614
18219008,18221055,211441
18221056,18221311,114830
18221312,18223103,211441
18223104,18223615,469204
18223616,18223871,69005
18223872,18225151,211441
18225152,18225407,106037
18225408,18226175,211441
18226176,18226687,450597
18226688,18227199,211441
18227200,18228223,25833
18228224,18228735,211441
18228736,18229119,45896
18229120,18229183,24852
18229184,18229247,45896
18229248,18230271,211441
18230272,18230527,450680
18230528,18233343,211441
18233344,18233599,20067
18233600,18234367,211441
18234368,18234879,22962
18234880,18235391,211441
18235392,18235903,476471
18235904,18236159,39137
18236160,18236415,211441
18236416,18236671,114830
18236672,18236927,211441
18236928,18237183,20067
18237184,18237439,211441
18237440,18237951,467102
18237952,18238463,211441
18238464,18238975,22962
18238976,18239231,211441
18239232,18239487,22962
18239488,18239743,450455
18239744,18239999,465044
18240000,18240511,105871
18240512,18241535,458855
18241536,18243583,211441
18243584,18244607,41815
18244608,18245631,211441
18245632,18246399,114830
18246400,18246655,32723
18246656,18246911,114830
18246912,18247679,211441
18247680,18247935,460634
18247936,18248191,211441
18248192,18248703,452628
18248704,18249215,211441
18249216,18249471,45899
18249472,18249727,211441
18249728,18249983,469207
18249984,18250239,211441
18250240,18250495,108157
18250496,18250751,211441
18250752,18250879,22962
18250880,18251775,211441
18251776,18252031,25833
18252032,18252287,211441
18252288,18252799,449930
18252800,18253311,469207
18253312,18254079,211441
18254080,18254335,106037
18254336,18254847,211441
18254848,18255103,22962
18255104,18255615,211441
18255616,18256639,22962
18256640,18257151,211441
18257152,18257407,22962
18257408,18258431,211441
18258432,18258687,39137
18258688,18258943,211441
18258944,18259199,25938
18259200,18259455,107714
18259456,18260735,211441
18260736,18260991,108612
18260992,18261247,45896
18261248,18261503,211441
18261504,18262015,449933
18262016,18262527,450841
18262528,18263039,211441
18263040,18263295,30619
18263296,18263551,211441
18263552,18264063,450583
18264064,18264319,211441
18264320,18264575,25833
18264576,18266111,211441
18266112,18266367,459952
18266368,18266623,108168
18266624,18267135,449927
18267136,18267647,211441
18267648,18268159,449952
18268160,18268671,449935
18268672,18269183,108612
18269184,18269951,211441
18269952,18270207,20067
18270208,18270463,459910
18270464,18270719,211441
18270720,18270975,449954
18270976,18271487,211441
18271488,18271743,20067
18271744,18273279,211441
18273280,18273791,25833
18273792,18274303,211441
18274304,18274815,442519
18274816,18275071,211441
18275072,18275327,450370
18275328,18276351,450599
18276352,18276863,22962
18276864,18277119,211441
18277120,18277375,22962
18277376,18277631,211441
18277632,18277887,62392
18277888,18278399,211441
18278400,18278911,41815
18278912,18279935,211441
18279936,18280191,107841
18280192,18280447,211441
18280448,18280703,460221
18280704,18281471,211441
18281472,18282495,25938
18282496,18284543,211441
18284544,18288639,22960
18288640,18292735,211441
18292736,18293759,449941
18293760,18294783,211441
18294784,18295295,22960
18295296,18295551,211441
18295552,18295807,22960
18295808,18296063,211441
18296064,18296319,22960
18296320,18297087,211441
18297088,18297855,22962
18297856,18300927,211441
18300928,18302015,30619
18302016,18302975,460027
18302976,18305023,211441
18305024,18308607,114830
18308608,18309119,211441
18309120,18309631,25938
18309632,18309887,211441
18309888,18311167,25938
18311168,18311423,211441
18311424,18311679,449930
18311680,18312191,450583
18312192,18312447,211441
18312448,18312703,45896
18312704,18312959,460621
18312960,18313471,211441
18313472,18313983,22962
18313984,18317311,211441
18317312,18325503,25938
18325504,18327551,211441
18327552,18327807,45899
18327808,18328831,211441
18328832,18329087,20067
18329088,18337791,211441
18337792,18338239,20067
18338240,18338303,460552
18338304,18338559,211441
18338560,18339583,20067
18339584,18339839,211441
18339840,18340095,322247
18340096,18341887,211441
18341888,18342911,22962
18342912,18343423,449890
18343424,18343935,211441
18343936,18344959,449957
18344960,18347519,211441
18347520,18347775,22962
18347776,18348287,211441
18348288,18348543,114830
18348544,18348799,211441
18348800,18348927,458865
18348928,18348991,114830
18348992,18349055,458865
18349056,18349311,211441
18349312,18349567,32723
18349568,18350079,211441
18350080,18418175,234748
18418176,18418431,108724
18418432,18874367,234748
18874368,18939903,33752
18939904,18951423,14614
18951424,18951679,112516
18951680,18956287,14614
18956288,18956543,41997
18956544,18956799,111968
18956800,18958079,14614
18958080,18958335,112849
18958336,18993919,14614
18993920,18994047,106169
18994048,18994175,64704
18994176,18998783,14614
18998784,18999039,37046
18999040,18999551,14614
18999552,18999807,21250
18999808,19002879,14614
19002880,19003135,105569
19003136,19005439,14614
19005440,19009535,21248
19009536,19010303,104163
19010304,19028991,21248
19028992,19029247,114759
19029248,19030015,21248
19030016,19030271,52436
19030272,19136511,21248
19136512,19136767,21240
19136768,19139071,14416
19139072,19139327,21240
19139328,19139583,109133
19139584,19140095,14416
19140096,19140351,25389
19140352,19140607,21240
19140608,19141119,14416
19141120,19141375,104634
19141376,19143935,14416
19143936,19144191,108194
19144192,19147391,14416
19147392,19147519,23625
19147520,19147775,14416
19147776,19148287,33752
19148288,19148543,14416
19148544,19148799,32377
19148800,19149055,14416
19149056,19149311,33397
19149312,19151615,14416
19151616,19151743,157918
19151744,19152639,14416
19152640,19152895,104169
19152896,19153407,14416
19153408,19153663,21240
19153664,19153791,104012
19153792,19156735,14416
19156736,19156991,21240
19156992,19159039,14416
19159040,19159295,125321
19159296,19159807,14416
19159808,19160063,108194
19160064,19162879,14416
19162880,19163135,103993
19163136,19167487,14416
19167488,19167743,108172
19167744,19168511,14416
19168512,19168767,103993
19168768,19169279,14416
19169280,19169535,23794
19169536,19170047,14416
19170048,19170303,106024
19170304,19172351,14416
19172352,19172607,21240
19172608,19176959,14416
19176960,19177215,21240
19177216,19182079,14416
19182080,19182335,107329
19182336,19182591,14416
19182592,19182847,151739
19182848,19186943,14416
19186944,19187199,21240
19187200,19188223,14416
19188224,19188479,21240
19188480,19191807,14416
19191808,19192063,152319
19192064,19193087,14416
19193088,19193343,108183
19193344,19195647,14416
19195648,19195903,21240
19195904,19198207,14416
19198208,19198463,103993
19198464,19200767,14416
19200768,19201023,32377
19201024,19202047,14416
19202048,19267583,172
19267584,19268607,103
19268608,19268863,402895
19268864,19270655,103
19270656,19270913,114830
19270914,19270915,450822
19270916,19271679,114830
19271680,19271711,442520
19271712,19271727,24852
19271728,19271935,442520
19271936,19272063,103
19272064,19272191,414334
19272192,19272575,103
19272576,19272703,414334
19272704,19272831,108982
19272832,19272895,25938
19272896,19272943,108982
19272944,19272959,107714
19272960,19273343,103
19273344,19273471,107714
19273472,19273663,103
19273664,19273695,109007
19273696,19273727,103
19273728,19273767,411323
19273768,19273775,62392
19273776,19273791,411323
19273792,19273855,411322
19273856,19273871,411323
19273872,19273887,105871
19273888,19274023,411323
19274024,19274031,172991
19274032,19274095,411323
19274096,19274111,105871
19274112,19274175,22962
19274176,19274207,411323
19274208,19274239,114830
19274240,19274751,411323
19274752,19274815,114830
19274816,19274823,22962
19274824,19274831,124968
19274832,19275007,22962
19275008,19275263,62392
19275264,19275519,22962
19275520,19275775,452765
19275776,19287039,103
19287040,19287295,114830
19287296,19292415,103
19292416,19292671,114830
19292672,19398655,103
19398656,19661055,17
19661056,19661311,23665
19661312,19661823,411243
19661824,19662335,17
19662336,19662591,15039
19662592,19662847,423242
19662848,19663103,17
19663104,19663359,180590
19663360,19663871,423271
19663872,19664127,423150
19664128,19664895,17
19664896,19665151,15039
19665152,19665407,189657
19665408,19665663,11716
19665664,19665919,17
19665920,19666175,33458
19666176,19666431,15039
19666432,19666943,423157
19666944,19667199,425501
19667200,19667455,17
19667456,19667711,423229
19667712,19667967,17
19667968,19668223,221571
19668224,19668991,17
19668992,19669247,42341
19669248,19670015,17
19670016,19670271,423154
19670272,19670527,387977
19670528,19670783,17
19670784,19671039,423178
19671040,19671295,108491
19671296,19671551,15039
19671552,19673855,17
19673856,19674111,153157
19674112,19674367,423157
19674368,19676927,17
19676928,19677183,422068
19677184,19677439,15039
19677440,19677695,173309
19677696,19678719,17
19678720,19678975,152188
19678976,19679487,17
19679488,19679743,384786
19679744,19679999,423273
19680000,19680255,17
19680256,19680511,11716
19680512,19680767,124667
19680768,19681023,108231
19681024,19681791,11716
19681792,19682047,17
19682048,19682303,428767
19682304,19682815,17
19682816,19683071,11716
19683072,19683583,17
19683584,19683839,11716
19683840,19684351,17
19684352,19684607,423187
19684608,19684863,17
19684864,19685119,11716
19685120,19685375,109210
19685376,19685631,17
19685632,19685887,104854
19685888,19686143,17
19686144,19686399,423272
19686400,19686655,108500
19686656,19687423,17
19687424,19687679,427662
19687680,19687935,177358
19687936,19688191,423176
19688192,19688447,17
19688448,19688703,423200
19688704,19689215,17
19689216,19689471,180525
19689472,19689727,411238
19689728,19689983,186153
19689984,19690495,423157
19690496,19690751,17
19690752,19691007,157977
19691008,19691263,17
19691264,19691519,15039
19691520,19691775,17
19691776,19692031,423203
19692032,19692287,17
19692288,19692543,423180
19692544,19693311,17
19693312,19693567,157953
19693568,19694079,17
19694080,19694335,105114
19694336,19694591,423430
19694592,19695615,17
19695616,19695871,14409
19695872,19696639,17
19696640,19697151,387927
19697152,19697663,17
19697664,19697919,423322
19697920,19698175,17
19698176,19698431,105051
19698432,19699199,17
19699200,19699455,411239
19699456,19699711,17
19699712,19699967,388406
19699968,19700223,423430
19700224,19700735,17
19700736,19701247,384893
19701248,19701503,17
19701504,19701759,388946
19701760,19702271,17
19702272,19702527,422090
19702528,19702783,17
19702784,19703039,427670
19703040,19703551,17
19703552,19703807,22549
19703808,19704063,423319
19704064,19704319,104664
19704320,19704575,17
19704576,19704831,14409
19704832,19705343,423426
19705344,19705855,17
19705856,19706111,411239
19706112,19706367,352757
19706368,19706623,17
19706624,19706879,226503
19706880,19707135,105051
19707136,19707391,17
19707392,19707647,384893
19707648,19708159,17
19708160,19708415,422090
19708416,19708671,22549
19708672,19708927,17
19708928,19709183,388061
19709184,19709439,384893
19709440,19709695,17
19709696,19709951,422124
19709952,19710463,17
19710464,19710719,46042
19710720,19710975,14409
19710976,19711231,17
19711232,19711487,151805
19711488,19711743,17
19711744,19711999,384893
19712000,19712255,423304
19712256,19712767,17
19712768,19713023,423457
19713024,19713279,423321
19713280,19713791,17
19713792,19714047,422080
19714048,19714303,17
19714304,19714559,422090
19714560,19715071,423425
19715072,19715839,17
19715840,19716095,423430
19716096,19716351,17
19716352,19716863,105051
19716864,19717119,17
19717120,19717375,423430
19717376,19718143,17
19718144,19718399,14409
19718400,19718655,29901
19718656,19718911,17
19718912,19719167,423319
19719168,19719423,422080
19719424,19719679,17
19719680,19719935,423325
19719936,19720191,17
19720192,19720447,157794
19720448,19720959,17
19720960,19721215,423430
19721216,19721471,17
19721472,19721727,104791
19721728,19721983,422080
19721984,19722239,22549
19722240,19723519,17
19723520,19723775,423316
19723776,19724287,388048
19724288,19725055,17
19725056,19725311,427674
19725312,19725823,423289
19725824,19726079,124499
19726080,19726335,423393
19726336,19791871,24328
19791872,19867647,209
